,words
1385,lane
1386,dont
1387,guidance
1388,every
1389,trauma
1390,lab
1391,distorted
1392,mama
1393,might
1394,project
1395,lil
1396,money
1397,brother
1398,bloodline
1399,sure
1400,writin
1401,dirty
1402,take
1403,blunt
1404,loadin ’
1405,game
1406,left
1407,thats
1408,year
1409,somethin
1410,ima
1411,’ em
1412,scrape
1413,pain
1414,straight
1415,list
1416,hope
1417,grows
1418,get
1419,prayin
1420,sell
1421,choice
1422,name
1423,roll
1424,rollie
1425,voice
1426,good
1427,ogs
1428,powder
1429,many
1430,lord
1431,big
1432,fail
1433,fake
1434,dick
1435,tminus
1436,next
1437,poppin
1438,lettin
1439,broke
1440,ain ’ t
1441,smoke
1442,love
1443,hard
1444,one
1445,wa
1446,snort
1447,poured
1448,foot
1449,class
1450,chip
1451,wont
1452,poisoned
1453,mil
1454,dead
1455,balance
1456,sneaker
1457,rich
1458,birthday
1459,shit
1460,21
1461,makin
1462,rapper
1463,lebron
1464,aint
1465,watchin
1466,countin
1467,feel
1468,put
1469,mission
1470,promise
1471,trip
1472,watch
1473,honest
1474,dollar
1475,quit
1476,clip
1477,id
1478,well
1479,stuck
1480,talk
1481,jail
1482,erase
1483,fuck
1484,can not
1485,gave
1486,dis
1487,mirrored
1488,fiend
1489,cadence
1490,still
1491,meet
1492,hate
1493,caviar
1494,trainor
1495,better
1496,grapevine
1497,bout
1498,mr
1499,chris
1500,giant
1501,corry
1502,galantis
1503,aston
1504,jax
1505,glynne
1506,laura
1507,starry
1508,diablo
1509,vargas
1510,young
1511,apart
1512,heim
1513,alex
1514,monroe
1515,riddim
1516,losing
1517,chvrches
1518,stadiumx
1519,could
1520,wish
1521,loote
1522,stafford
1523,becky
1524,renaissance
1525,tonight
1526,dumont
1527,codeko
1528,lsd
1529,miracle
1530,dont
1531,krystal
1532,kreyn
1533,dallask
1534,slatin
1535,illenium
1536,oliver
1537,axwell
1538,buuren
1539,bakermat
1540,fanciulli
1541,feat
1542,sam
1543,shungudzo
1544,good
1545,end
1546,audien
1547,gold
1548,snake
1549,todd
1550,bayer
1551,roe
1552,city
1553,elderbrook
1554,shuffle
1555,obsessed
1556,hill
1557,adam
1558,gattüso
1559,stay
1560,used
1561,mind
1562,something
1563,diplo
1564,cheat
1565,sumr
1566,rüfüs
1567,lany
1568,lie
1569,sadko
1570,black
1571,cost
1572,ride
1573,tiëstos
1574,alesso
1575,solid
1576,jon
1577,eli
1578,holy
1579,time
1580,cooke
1581,wei
1582,higher
1583,noize
1584,aloe
1585,open
1586,dombresky
1587,lökii
1588,jordan
1589,therapy
1590,jem
1591,kygo
1592,carry
1593,blume
1594,arno
1595,yves
1596,garrix
1597,dream
1598,offaiah
1599,fun
1600,beauty
1601,midnight
1602,green
1603,jguar
1604,thing
1605,whitney
1606,mistaken
1607,uk
1608,faith
1609,klear
1610,tough
1611,real
1612,tape
1613,fall
1614,push
1615,light
1616,rat
1617,alison
1618,ritual
1619,middle
1620,desire
1621,show
1622,max
1623,heldens
1624,kaskade
1625,treat
1626,laidback
1627,sol
1628,purple
1629,afrojack
1630,take
1631,lagola
1632,jones
1633,remember
1634,party
1635,takeaway
1636,karen
1637,groove
1638,life
1639,magenta
1640,brook
1641,martin
1642,one
1643,travolta
1644,aris
1645,broussard
1646,moti
1647,brohug
1648,yes
1649,grenade
1650,ty
1651,kody
1652,knife
1653,forever
1654,shaw
1655,fire
1656,aint
1657,moguai
1658,feel
1659,lift
1660,resource
1661,disco
1662,baianá
1663,david
1664,calvin
1665,andrew
1666,luciana
1667,red
1668,code
1669,romero
1670,mk
1671,body
1672,xtc
1673,luke
1674,maxim
1675,sing
1676,harding
1677,death
1678,skrillex
1679,matisse
1680,prince
1681,pablo
1682,armin
1683,back
1684,alone
1685,wilkinson
1686,arlissa
1687,marshmello
1688,daniel
1689,jonas
1690,go
1691,madison
1692,white
1693,easy
1694,nobody
1695,isak
1696,place
1697,pop
1698,around
1699,boy
1700,louisa
1701,bart
1702,avicii
1703,thinkin
1704,zara
1705,trumpet
1706,dj
1707,marque
1708,apple
1709,guetta
1710,norman
1711,heart
1712,joel
1713,friday
1714,think
1715,shaun
1716,jaehn
1717,camp
1718,little
1719,soul
1720,got
1721,r3hab
1722,raven
1723,lennon
1724,icona
1725,carla
1726,anti
1727,jessie
1728,rudimental
1729,brother
1730,world
1731,stella
1732,paul
1733,goodboys
1734,room
1735,felix
1736,camino
1737,notd
1738,brown
1739,gou
1740,juice
1741,skils
1742,brave
1743,agnes
1744,deorro
1745,fisher
1746,duke
1747,jess
1748,next
1749,love
1750,gorgon
1751,cristoph
1752,solveig
1753,goodbye
1754,avian
1755,toliver
1756,kream
1757,valerie
1758,lenno
1759,camelphat
1760,pull
1761,harris
1762,ign
1763,keanu
1764,wroldsen
1765,jack
1766,cool
1767,hey
1768,beer
1769,m22
1770,harrison
1771,letting
1772,machine
1773,day
1774,well
1775,meduza
1776,gone
1777,mix
1778,knock
1779,edx
1780,charlott
1781,kalkbrenner
1782,heavy
1783,night
1784,solardo
1785,survivor
1786,silva
1787,hardwell
1788,gray
1789,dolla
1790,never
1791,williams
1792,redfield
1793,georgia
1794,youre
1795,peggy
1796,best
1797,liquid
1798,dynoro
1799,beyer
1800,hour
1801,worry
1802,timmy
1803,heaven
1804,doray
1805,else
1806,bonn
1807,rockin
1808,ross
1809,ku
1810,v
1811,divine
1812,rita
1813,sparking
1814,oh
1815,hold
1816,save
1817,wait
1818,blue
1819,van
1820,tiësto
1821,zed
1822,lorenzo
1823,bellion
1824,ina
1825,sleep
1826,styler
1827,larsson
1828,close
1829,grace
1830,delta
1831,sometimes
1832,breathe
1833,amy
1834,regard
1835,sorry
1836,houston
1837,joyryde
1838,eden
1839,water
1840,chainsmokers
1841,get
1842,let
1843,mike
1844,nic
1845,nicky
1846,big
1847,piece
1848,tribute
1849,dom
1850,zohara
1851,sigala
1852,ragnbone
1853,bos
1854,arty
1855,class
1856,dead
1857,gon na
1858,kind
1859,tight
1860,sacrifice
1861,captain
1862,pnau
1863,remix
1864,kira
1865,madge
1866,xylø
1867,beyond
1868,lake
1869,may
1870,gryffin
1871,meghan
1872,cut
1873,touch
1874,win
1875,euphoric
1876,sachi
1877,blacc
1878,rock
1879,stay
1880,diamond
1881,tread
1882,know
1883,wont
1884,time
1885,oh
1886,nothing
1887,burning
1888,breaking
1889,find
1890,quiet
1891,staying
1892,got ta
1893,hold
1894,open
1895,noise
1896,make
1897,song
1898,eye
1899,yeah
1900,see
1901,new
1902,wishing
1903,reason
1904,lip
1905,fantasy
1906,tonight
1907,lie
1908,watching
1909,scared
1910,dying
1911,real
1912,cant
1913,flicker
1914,fall
1915,point
1916,makebelieve
1917,around
1918,dive
1919,silents
1920,life
1921,swan
1922,cause
1923,running
1924,wa
1925,heavily
1926,dont
1927,wanna…
1928,try
1929,want
1930,got ta
1931,honestly
1932,wan na
1933,make
1934,wow
1935,cannibal
1936,security
1937,staple
1938,connected
1939,go
1940,youre
1941,drinkin
1942,scared
1943,cant
1944,satisfactory
1945,art
1946,calling
1947,apart
1948,cleanin
1949,expected
1950,ill
1951,know
1952,arent
1953,glass
1954,like
1955,thing
1956,right
1957,thinkin
1958,ahh
1959,tongue
1960,said
1961,billie
1962,knew
1963,would
1964,fall
1965,killing
1966,drown
1967,keepin
1968,head
1969,collected
1970,cause
1971,close
1972,soul
1973,loud
1974,park
1975,dont
1976,expensive
1977,ahahh
1978,spit
1979,somethin
1980,asleep
1981,limb
1982,bury
1983,eye
1984,payin
1985,today
1986,run
1987,get
1988,sell
1989,dark
1990,hatchet
1991,end
1992,calm
1993,step
1994,thought
1995,star
1996,careful
1997,exactly
1998,say
1999,held
2000,class
2001,probably
2002,wont
2003,dead
2004,wondering
2005,friend
2006,owe
2007,start
2008,shouldnt
2009,care
2010,amount
2011,way
2012,deadly
2013,youd
2014,listen
2015,froze
2016,wake
2017,keep
2018,debt
2019,meet
2020,away
2021,waste
2022,slipping
2023,find
2024,open
2025,night
2026,wan na
2027,drag
2028,go
2029,youre
2030,please
2031,slowly
2032,stop
2033,talked
2034,cant
2035,kitchen
2036,ill
2037,know
2038,lonely
2039,throw
2040,could
2041,baby
2042,leave
2043,crack
2044,embrace
2045,sympathy
2046,awake
2047,bathroom
2048,door
2049,grace
2050,little
2051,dont
2052,show
2053,leaving
2054,fade
2055,sink
2056,corridor
2057,cold
2058,hope
2059,let
2060,step
2061,skin
2062,kingdom
2063,wa
2064,foot
2065,way
2066,feel
2067,tile
2068,dignity
2069,looking
2070,cut
2071,havent
2072,falling
2073,walking
2074,keep
2075,time
2076,turn
2077,help
2078,back
2079,loving
2080,hear
2081,loved
2082,never
2083,tend
2084,guess
2085,youre
2086,going
2087,arm
2088,easy
2089,ill
2090,getting
2091,without
2092,know
2093,around
2094,nothing
2095,hold
2096,like
2097,guard
2098,save
2099,somebody
2100,nightfall
2101,escape
2102,safe
2103,fall
2104,someone
2105,close
2106,got
2107,sometimes
2108,sound
2109,sleeping
2110,pulled
2111,pain
2112,eye
2113,till
2114,get
2115,let
2116,liked
2117,rug
2118,bleeds
2119,driving
2120,say
2121,one
2122,wa
2123,used
2124,fear
2125,way
2126,really
2127,feel
2128,day
2129,need
2130,hurt
2131,kinda
2132,numbed
2133,crazy
2134,mornin
2135,innocent
2136,away
2137,want
2138,bout
2139,fair
2140,wan na
2141,always
2142,hatin
2143,never
2144,damn
2145,even
2146,youre
2147,please
2148,street
2149,cant
2150,took
2151,call
2152,met
2153,taste
2154,hit
2155,home
2156,without
2157,know
2158,like
2159,could
2160,right
2161,baby
2162,thinkin
2163,realize
2164,feelin
2165,yeah
2166,give
2167,compare
2168,break
2169,shes
2170,look
2171,nice
2172,think
2173,singin
2174,cause
2175,got
2176,girlfriend
2177,dont
2178,yee
2179,hate
2180,knee
2181,song
2182,trippin
2183,ever
2184,doin
2185,say
2186,one
2187,face
2188,practically
2189,bored
2190,used
2191,shouldnt
2192,care
2193,shit
2194,happen
2195,fuckin
2196,usually
2197,way
2198,aint
2199,feel
2200,play
2201,mmmmmm
2202,hmm
2203,type
2204,keep
2205,actin
2206,crazy
2207,time
2208,want
2209,away
2210,find
2211,got ta
2212,wan na
2213,make
2214,talking
2215,tryna
2216,even
2217,go
2218,youre
2219,incredible
2220,apologize
2221,cant
2222,best
2223,ugh
2224,trying
2225,satisfy
2226,know
2227,boy
2228,oh
2229,gon
2230,yuh
2231,like
2232,baby
2233,bad
2234,maybe
2235,thinkin
2236,feelin
2237,leave
2238,hell
2239,yeah
2240,thank
2241,see
2242,yeaheheh
2243,would
2244,think
2245,yeaheh
2246,got
2247,nothin
2248,dont
2249,show
2250,ship
2251,complete
2252,yee
2253,uh
2254,bloodline
2255,take
2256,nah
2257,true
2258,get
2259,let
2260,mmm
2261,good
2262,woo
2263,linkin
2264,sailed
2265,next
2266,lookin
2267,love
2268,say
2269,one
2270,wont
2271,though
2272,mind
2273,something
2274,shit
2275,aint
2276,put
2277,day
2278,looking
2279,need
2280,mine
2281,wishin
2282,control
2283,time
2284,away
2285,bout
2286,find
2287,yeahyeah
2288,got ta
2289,wan na
2290,tryna
2291,go
2292,numb
2293,cant
2294,call
2295,temporary
2296,sight
2297,outta
2298,know
2299,boy
2300,oh
2301,quickly
2302,baby
2303,bad
2304,save
2305,somebody
2306,ive
2307,yeah
2308,lately
2309,would
2310,real
2311,cause
2312,little
2313,got
2314,isnt
2315,dont
2316,worried
2317,bit
2318,idea
2319,arichan
2320,take
2321,ima
2322,ooh
2323,pain
2324,get
2325,let
2326,mmm
2327,roll
2328,forget
2329,gim me
2330,shouldnt
2331,something
2332,feel
2333,uhhuh
2334,trip
2335,runnin
2336,need
2337,want
2338,different
2339,cigaretts
2340,flip
2341,got ta
2342,’ cause
2343,night
2344,alibi
2345,wan na
2346,make
2347,always
2348,even
2349,woah
2350,youre
2351,access
2352,easy
2353,cant
2354,fendi
2355,found
2356,switchin
2357,reply
2358,know
2359,admit
2360,baby
2361,coat
2362,truth
2363,yeah
2364,movin
2365,look
2366,someone
2367,think
2368,keepin
2369,lying
2370,dont
2371,sleepin
2372,we ’ re
2373,much
2374,eye
2375,new
2376,makin ’
2377,smoke
2378,love
2379,say
2380,youve
2381,though
2382,conspicuous
2383,shit
2384,makin
2385,stuttering
2386,changing
2387,aint
2388,actin ’
2389,tell
2390,you ’ re
2391,well
2392,code
2393,keep
2394,actin
2395,try
2396,better
2397,worse
2398,drug
2399,make
2400,even
2401,go
2402,stuff
2403,weekend
2404,youre
2405,broken
2406,cant
2407,couldnt
2408,waist
